ID,Horizontal_Distance_To_Fire_Points
49513387,4196.104
154482561,4187.266
170918549,3904.092
483460773,1476.126
3421968690,1020.732
5499677306,2395.046
6705225373,2305.922
7212205247,1789.498
7677453658,956.628
10568709598,2997.01
11010485947,3602.532
11872738465,1883.41
11932179207,1575.8
13257721895,503.812
13927948751,3734.902
14489896641,1639.636
14533450652,1822.988
15876934908,1243.612
16294458069,780.4
17204753953,894.012
18254775858,4213.314
18587689167,2192.442
18714428928,3949.584
19116118615,1783.19
20622356958,701.512
21009804390,641.9
21606716089,1308.056
23003507048,1913.062
23453508077,4625.73
25491478138,1991.438
26344741034,1396.184
27255398089,2953.796
27458388153,5132.08
27567489444,1089.926
29404828195,4289.462
31557514696,712.476
32730748563,1380.72
32884041343,1853.11
33399879940,4386.456
33690075065,462.58
36954078703,245.428
37241643628,3938.688
37526064209,3621.68
37888408680,3490.354
38778495322,1869.806
38881753524,3805.142
39445652987,3819.088
41715580937,1289.062
41782178549,1863.602
42460352572,1360.29
43131085379,4049.248
43215929285,2182.288
43218269944,1104.602
44272236132,569.554
44291834111,4556.504
45863110497,486.892
47936167179,1077.778
47960171005,3305.778
48605389311,1097.88
48706795356,801.46
49988516622,900.892
50178474646,1534.226
50185962297,2436.526
51137539291,2661.36
51254308022,1773.102
51485692242,1717.204
53407573721,3228.902
53617093644,1965.236
54815855423,2364.67
57570938929,1114.412
59358734242,1642.558
59805517756,1783.386
59904653621,1360.862
62251900775,1690.95
62294819713,4306.884
62340551963,833.316
63641439905,1857.122
65036486778,1653.378
66421264513,3591.788
66933894253,2835.488
67770507511,1753.516
69622426407,1185.118
70790301137,980.664
70984767213,4019.926
71226250395,1146.69
72414773115,3663.548
75305489676,4382.124
75473973939,833.388
77614027136,4043.382
79230575862,5720.528
79615576477,2965.074
80701706821,4123.476
83060056231,1742.882
83287709439,1263.776
86819211905,1309.964
87501972029,3876.69
88214596632,3521.018
90027244686,1512.272
92915532844,1313.238
93009805530,4802.862
93912328737,1141.018
94056108636,843.482
95007997989,1542.13
97542872929,3991.496
97690587164,831.924
98413925270,2206.076
98435157932,856.646
98898601119,1680.712
100928655693,5221.232
102563430642,3171.286
102980609560,755.634
103401327025,935.716
107600110556,1260.33
108359814184,4333.452
109232629345,4150.778
109937572212,2760.864
111017468179,908.622
113635763667,1863.78
114060742296,1231.28
114246972325,1917.018
114622005074,2218.752
114919291579,1976.404
119124592923,1260.5
120173178150,1088.63
120174739398,2215.158
125620283395,1351.676
126109810620,1287.08
126323123025,1159.81
127278650468,1013.7
127375803095,1802.81
127674493201,1477.902
129387496043,1579.806
129617305930,5266.74
132515758197,1391.768
133757104902,715.572
134441063734,967.374
135345474220,1645.258
135855544925,2288.01
135942569459,2984.29
137155027535,715.25
138738130208,3190.708
139067422477,3730.326
141906524488,2258.592
142393479923,1091.332
142605257189,1042.386
143068056043,1459.444
143410583289,738.45
145860890030,846.31
147823220120,1487.136
149223537884,1609.166
150011633916,2133.03
150725100902,1540.478
150849655128,3694.538
151019752418,3305.722
155312591316,5391.366
158170244349,1437.842
158198752116,1034.114
159512560080,1359.452
160394048269,3001.036
160866071764,1086.038
162858239831,4991.662
164119838197,1764.52
165822299060,4315.208
166539180979,5454.444
167026181691,1550.312
168251283648,2080.69
169164297159,3882.84
170340592111,1258.1
172984134900,1844.368
173965052459,3178.664
174340626142,989.606
174553904617,1845.464
176985788025,2428.804
177084017191,2000.908
178306423165,1841.518
178423952401,1692.116
178455941015,2454.826
178529788874,1682.284
179149623101,662.834
179416220637,4323.504
179888286148,3150.804
180179088273,734.146
180507824238,1526.562
184375392165,401.056
184451477151,1262.638
184738741234,1804.308
185056899485,3151.722
185182071731,996.612
186192642676,956.012
186202931714,627.072
186666583405,3729.356
188058099532,3876.792
190612161739,1103.06
191786220918,1317.914
192272885253,1240.266
195350959068,1349.094
196714165163,1430.606
196797893847,1261.694
197098575791,646.274
200200813237,1428.02
201753062486,1234.602
202879802840,2134.838
206124335947,3129.164
208556964450,1126.52
209138095340,1222.026
213009574322,2076.062
213257512053,399.902
213491750198,2198.888
214765872738,1573.078
215677869250,3287.656
216856419020,2116.554
216879306321,1483.28
218546511946,1074.154
222873265205,1402.804
223316030855,3999.052
223679548202,1224.992
223837443523,4492.678
224551039788,1596.716
225566744544,908.27
225684559020,1291.548
226167994000,5497.574
227253695108,2799.022
227626552656,3338.946
228211731876,628.644
228461864201,1308.726
228697857848,862.022
228836659715,773.382
230988028530,2276.138
232228338089,2633.088
232796167982,1108.698
233062770776,1030.912
233732533410,2334.388
234008501935,3899.112
234837203673,1253.862
234846947995,3491.138
235486464743,5396.842
236263378345,2121.03
237781854465,2198.186
237942030110,1826.51
238016403687,3206.744
239363389723,1158.25
241700135191,4318.278
241998041181,1850.516
242990398464,5113.228
243067416845,1551.954
243275253201,1183.576
243637464238,1327.642
244319901355,1927.646
244624829603,385.47
245098093514,4733.462
246150786641,1413.038
247534359611,4269.738
248614356056,1144.802
248668196141,775.426
248981201416,4925.482
248988510566,1407.156
250217632369,4513.804
250370631995,1188.952
250686078422,1912.852
251601683462,609.852
254173037466,1791.562
254610127873,1538.34
255817009412,1613.44
258835705311,3871.122
259581194084,1174.108
260423001781,2318.256
262532943792,2279.638
262739732779,2177.178
264779008852,1076.598
264948301456,2062.322
265220870820,1574.426
265506938916,1613.074
265860723876,2787.174
267169271232,732.134
267902489252,511.266
269372841660,1083.044
269877160211,1376.594
271409791213,4858.96
271750005946,1962.654
276551122236,1297.164
277502542400,1017.28
278395275161,4099.264
278921546529,844.454
280109045205,1846.094
281119505260,870.028
282184608245,4610.896
282322451061,4736.558
282441556685,5089.508
283581952931,543.6
283606375813,1732.984
284476291173,1543.902
284545624468,915.932
285109935242,891.14
285569722550,1723.65
285934397246,1286.252
286087108291,4309.916
287385141997,1762.996
287532744392,853.232
287997061379,1859.638
288005425756,707.402
288110670201,1116.218
288293239653,1111.67
290380188119,3844.53
290407979560,3273.566
291818710742,4064.164
292297154348,2518.79
292556425240,3428.768
293219184061,3543.576
295883553808,888.848
295903924489,782.94
296482388433,703.118
297455988391,1140.914
299044548436,514.9
299174636690,380.164
299712945598,1408.404
300492379128,1456.14
301480690577,1854.586
305060033358,1449.22
307308892475,1923.874
307446996165,2085.984
308360940098,1751.794
308950864162,863.564
309372685625,5174.416
309801432325,897.654
311558365726,3063.62
311604971512,3578.032
315208381692,2600.198
317457149825,758.824
318176697956,1814.534
319390720031,728.388
319478672672,1725.998
319601904106,903.302
320028933310,1919.46
320686858352,2590.42
321212645811,1185.612
321489366990,847.586
321512355403,2900.086
321933437702,1813.922
322516272727,945.506
323546562079,3513.89
324201140878,1202.596
324414679103,706.066
325300074941,1494.498
326318200773,1205.748
326952580552,1654.498
328428890585,799.228
328479037304,2016.996
329791813430,890.356
330384429679,3354.474
330542586244,1142.108
332233208732,2051.656
332265616826,1076.98
332499647757,2356.608
333939291493,1713.01
337995440291,703.028
338111344813,1335.368
338292345296,1127.46
343775846481,1208.31
347120948554,550.6
349238482340,1224.994
350088021085,804.238
350904726767,1588.658
351646737059,2480.73
351657771813,1831.326
353812956349,2098.942
355850876504,1960.276
355879944208,1905.302
356317339198,4324.752
357669307392,937.226
359246831887,3426.968
360142549714,1879.498
362230084541,1868.572
362944933401,867.906
363724521993,1594.096
364569578425,712.88
364888131677,416.79
367216051586,1154.788
372276418620,1780.87
372729828532,3740.902
374372403623,3926.682
375615270866,1910.928
375644811450,5156.87
376059922656,1863.894
378434772238,820.158
378691891956,902.542
379733142418,1325.096
380189176360,4755.688
380396130933,922.052
384081185642,2775.164
384243175665,1959.652
385738957773,2452.042
386875091702,1765.738
387835364300,1020.536
387925196286,870.598
387980811704,2706.392
388826592689,2321.722
390493813332,1884.684
393146003746,841.578
395140505264,1402.616
397142533825,1429.346
397654080220,1292.876
397917871176,4464.75
398059494162,3796.05
399081015288,3811.716
400247560570,1241.158
400288894481,1457.32
400340953965,837.02
406055033329,887.804
406187704913,1819.5
406908415081,1652.706
407157668372,2451.694
407506554448,925.116
407727192320,1934.498
409035454664,1573.348
409063912426,1345.204
409718962943,1407.18
412810775434,3979.082
414208512539,1293.17
414350352380,2839.5
414444395811,3991.884
414784290463,1204.716
416080673605,914.824
416142702007,1031.146
418630974880,2349.566
420814392045,2090.092
421835846401,1061.496
422148056396,811.266
422525556150,1649.716
424016505784,1511.158
424020864860,5072.588
426806402952,4565.126
427693800135,1950.538
428293672405,1623.94
428302823798,2626.996
428524630020,1507.75
429227258252,2880.354
429257420131,3844.828
429344171854,913.94
429870386555,3337.776
429973308812,690.308
430120136950,1538.006
431209370364,1520.72
432346766164,1112.096
433491309466,330.966
434056471239,3020.378
434826056659,1342.654
435091636348,3938.808
435555849451,1090.278
436055216200,1598.442
437167312538,1612.054
437461717763,759.882
437847021408,1572.49
438376137400,2181.632
439099305374,4529.762
440737365506,3791.68
442300987498,385.45
443273918861,5151.674
443548536806,683.032
443792213379,1712.062
444743769938,995.476
445197559571,1745.216
445772661408,1438.774
446569132170,1273.168
446652335433,858.376
446680902126,3573.49
447063242075,710.162
447487852539,3899.506
447702648565,457.318
447927997936,897.822
448036826384,1276.46
448844494607,4667.038
449038038409,1541.474
449875309625,1986.186
452640176216,4999.828
453567844486,1310.418
453800792123,793.956
454226508909,1376.842
454282890024,2156.44
454295781838,1265.81
454437332720,868.61
454999261209,860.476
458336164055,1291.212
459588206746,1682.664
459638516900,1839.628
463254799371,807.898
463831080847,3980.826
463892454656,1802.858
464695199539,481.528
467074394051,4677.576
467590606478,3611.554
468211759504,2034.722
469297669596,1827.48
469590452956,1390.584
470012020097,3837.702
470347894585,1863.756
472774931796,606.318
473212120208,696.318
474400838776,2019.044
474611928518,5375.456
477533686931,4481.212
478652182533,1370.426
479163409041,3972.726
479780618642,974.39
481834571810,1848.86
483175996666,4277.392
483454346472,4003.532
485541137437,408.334
485875060357,2346.664
485954079485,1370.438
486102766424,5532.104
490264229109,1588.264
490454311614,731.716
494229315159,1435.702
495821852332,3875.026
495995753381,801.964
496331119021,2558.596
496853694358,1371.818
497149865131,4371.082
498634107194,1630.392
498789474462,1283.964
500850712622,1995.464
501525415527,369.308
501938386575,1204.668
501961399207,3561.5
502691856053,891.72
505844089544,4011.8
505888936330,892.982
505974869856,1387.64
506146675183,1369.434
506217571529,1958.514
507176313625,1578.636
508182544676,800.506
508854763725,3625.594
509352101323,2022.016
511208870987,869.614
511452389662,2574.294
511788014122,1172.876
512149309772,2242.568
512486188009,1070.694
512685856754,2250.346
513205787633,362.536
513562548359,4282.202
514063183476,1473.164
514284945839,3016.204
514316817202,3792.77
514387549545,1050.434
515031282948,2151.118
515146098809,1889.518
515236135032,2522.094
517427966951,829.362
520118062818,1214.174
520289537962,916.436
523367720775,1428.092
523844097550,378.932
529866725280,4203.976
530097437743,1617.804
531244561168,2401.852
531716460821,1464.79
532231633592,2175.404
532851095268,1149.676
536953298831,2441.824
538158965891,1422.676
538272154225,1394.642
539527296356,3467.506
540647071297,920.944
541065795147,2423.36
541356914875,1075.586
541725951289,5587.962
542400062962,2382.728
543024079084,2371.06
543462759678,2227.482
543672781988,1488.376
547036660568,1603.65
547360159936,2213.37
547983490942,2720.91
548136338272,4016.902
548568403500,1275.606
551325060748,777.568
552186641046,2765.728
554168967991,4432.728
554893668699,1349.874
555302884549,1243.056
555741790630,1574.342
555935304605,440.084
556992772161,629.376
557305355903,624.948
558918812784,5148.434
560088087916,1115.54
565229283707,4786.52
567331610815,687.738
567883592690,2188.63
568173174640,923.108
570694432277,1429.42
570726745405,2443.256
572129711858,4235.12
572849246746,1056.294
572907086918,611.512
575080546675,5513.03
575213479207,1099.774
575485558631,2073.158
575629184863,347.854
575656380863,2469.966
575770789771,458.212
576620395692,3927.046
577157634193,631.858
578103105101,2003.246
582211374205,1619.512
582745348727,2354.41
582833847606,4093.038
583539109234,2136.078
583779927704,1104.176
583831799829,3910.97
584088718496,2188.968
584181590593,1857.51
584988673413,3228.068
586344131155,2195.594
586721104055,1323.894
587125243555,350.128
587960167917,1724.01
588598948350,3201.054
589477836386,1283.794
589987692922,1300.356
592206925695,1953.762
592450684393,1351.002
592581645874,1430.074
593327992054,1854.236
593837349089,2133.152
594159101751,3537.832
594272328295,1352.42
594615245241,3353.23
597359462158,5333.046
597668382451,1095.064
597818599029,2032.752
598311007455,4543.798
599354425879,1065.226
600154076373,798.638
600345139931,2160.894
600515618259,2082.526
601725481411,5194.206
602179891535,3163.19
602633067568,636.766
602912320254,647.568
603301092059,5783.89
608265817762,4576.05
609302312257,1974.308
609788250517,1274.726
610115574060,2874.666
611148043196,1774.238
611408277149,1573.102
611893545273,3873.498
612341667400,1407.12
613502865833,4741.958
614170591628,1255.978
614445609805,4334.602
615573319710,4622.916
616044010754,756.032
616136945490,722.328
616394857108,759.118
616464987483,3961.876
617097758921,2232.514
617147515689,1808.926
617654179855,5569.332
617892861925,1706.998
620323541242,1397.898
620613953120,2276.354
621157027483,2401.732
621706297602,944.292
622210001549,4117.248
622420989750,1000.722
622847786062,2283.246
624590995586,1243.276
624746065590,1776.45
625650687670,4000.218
625972690723,4249.35
626171763607,1336.8
626424703015,1176.672
626439061346,1435.242
626555679678,1885.566
626756557188,1445.438
628164352546,812.068
628666866565,1338.436
630908209023,656.584
632234517919,4775.65
634637183791,808.768
634756065886,4630.486
635301601429,1105.312
637999122538,1333.516
640436554540,760.784
641254185251,1000.698
642789227195,4655.6
642928219449,285.61
645159779232,349.81
645338156977,3392.226
646473004499,1346.498
647904520663,3620.452
648494651928,1979.524
648522242326,4263.574
649488603497,4790.018
649650404044,1285.874
650146184029,1793.522
650849229010,2185.546
650906877475,1612.708
650916972337,1660.962
651660797023,3028.008
652711440745,3807.056
653347636526,843.976
653548714238,1023.788
653993407976,1912.23
654711500290,3745.634
655188016628,2375.982
656057123089,1221.702
658746438146,2372.288
659679988296,2630.136
660689101988,1597.546
660783776563,2303.39
660878869941,3886.258
662641646902,4020.442
663115383002,2248.918
663486329937,1142.32
664085901166,1885.008
664650100079,1031.024
665455694725,1838.842
665662316663,1015.138
665959664057,894.122
667345777259,1133.052
667432719698,4154.768
667473999479,874.216
667580689805,2746.714
667937859295,1614.736
669555065409,3929.674
669654611033,390.896
670044330748,2120.196
670308069414,843.012
672764609401,1677.58
673761789875,1479.612
675584533406,1518.558
677207539482,1039.816
678361024562,1770.18
684111066362,2453.78
685225818243,2010.484
685940166223,4862.88
686611238973,2425.926
687340997117,1032.694
689407025269,3735.514
689707153488,1527.458
691026713083,2868.312
691129961763,1742.862
691786368462,1555.022
692749654578,1751.124
693481691470,5278.644
693661535167,852.526
694095648317,2020.266
694983760046,977.31
696595253060,3725.316
697717318964,1114.922
698499035780,2505.922
699104576452,1448.564
699331778872,4525.898
699542895849,716.942
700100639000,1443.43
700168264053,1381.83
701212354751,990.304
701672781265,1495.656
702206586783,3573.58
704727864562,880.908
705823034651,4061.844
707986005943,1245.748
708634127017,1549.532
708640356142,3491.776
708784757997,809.558
708945331479,1757.128
710615165758,1943.71
712156139939,1358.24
712199081431,966.882
712241931837,1145.09
713043135546,942.696
713591215646,2162.054
713778777097,2779.874
714181462792,4235.112
715288968897,1403.452
716343090799,1641.022
717923784053,1579.146
719525233700,3166.384
720109821299,4400.726
720194130542,2401.642
721405340965,676.354
722710655911,1532.674
723125217725,1648.544
724061899341,994.26
724314526277,2393.114
724930344088,1469.916
725557249367,3877.658
725906182741,3015.632
726165747115,3874.234
726661188924,1004.274
727776963987,352.764
728523718300,914.542
728900318703,781.072
729400320890,1931.184
729452019001,2675.652
729988935325,1215.478
730892153033,654.242
731287922449,1236.356
733623410276,1874.608
734799468528,987.054
736307729947,1425.732
736673752723,767.764
737185473267,3790.262
737235496208,3833.36
738472582822,4291.534
740040061325,2158.596
742573936804,2010.514
743692432130,1954.826
744803906298,1514.294
744816200901,1959.464
745449919093,570.086
745470684564,1263.294
745847860560,5407.556
747213689218,4476.624
747374351511,4374.122
747463242973,532.65
748588437749,5000.83
750933088032,1781.548
751651081961,1669.522
752281968936,1789.85
755011719693,3380.754
755242515880,1540.198
755457804328,1984.282
757717691327,1317.858
757765787201,1398.916
758177770447,681.102
758288409793,4622.232
758374028198,2861.552
760460102996,1516.53
761336022530,2303.554
765701521697,860.786
767352510181,966.566
768381228573,4314.766
768391720401,4830.014
769081769663,1546.414
771329112124,5656.896
771859925225,1639.258
772797860685,3604.44
772830710311,1732.648
774276902879,1521.14
774926873696,1323.956
774960675249,4031.054
776715580921,4256.228
776750968531,1446.898
777553808314,4233.082
779154123421,2069.796
779224644306,1131.418
779659055364,380.44
779711297039,2617.862
781144102170,913.404
781929351380,1685.852
782336014554,987.652
782811253089,832.36
782962104643,1308.154
783041750737,589.442
783961483241,3756.878
784569189160,1716.792
784932392470,1942.86
785427607956,4447.754
786370071429,1524.19
790720780640,576.754
793533537401,1281.582
795456299282,872.748
796543896476,1642.416
797294185529,3341.786
798331141492,1583.012
798643609062,1201.334
798777021846,4048.084
798791737440,1066.408
798908409024,974.84
799985047727,731.598
801509352030,3449.802
802863950894,1378.918
802953450426,437.466
803940757481,2013.09
804105225944,987.132
804569938510,4420.098
804972570758,1302.936
806323001157,255.072
806573153408,1750.946
807757090403,1033.826
809017684155,1521.974
810021618630,502.108
810732553459,5043.912
811435901189,869.192
812670461346,1423.75
814480685332,817.794
816979948003,1137.728
817206244547,2381.718
819865029329,3967.318
821975993247,901.98
823510070758,1879.178
823534884119,1554.998
823635926336,1781.448
823721432482,804.93
824106371983,3624.464
824612025479,1193.362
824849121227,1443.792
824976353348,3532.644
825589789425,1775.442
826206765075,927.016
826475535799,1779.98
826580152447,2342.304
826902876112,2368.528
826921783941,1276.464
827048425349,2398.438
827548782768,1399.536
828064551951,5377.112
829957377795,1046.706
830665942618,1127.688
830739095011,1401.94
831176168344,4996.412
833272116991,4803.674
833400805117,1531.17
835190719490,607.262
835646879518,1644.332
836465041476,1516.25
836960451688,2240.682
838835064757,1142.294
839737370144,507.914
840423929195,518.664
841575573892,534.318
841607969716,1356.62
